Inter.	DataeHora	Comp.onda(nm)	Sinal	Unid.	Fase(º)	Freq.(Hz)
1	04/02/2015-11:04:56	1999.986000	0.000270	V	101.510000	98.702000
2	04/02/2015-11:04:58	2049.965000	0.000250	V	98.920000	98.755000
3	04/02/2015-11:05:00	2099.972000	0.000230	V	98.470000	98.799000
4	04/02/2015-11:05:02	2149.970000	0.000240	V	99.270000	98.682000
5	04/02/2015-11:05:04	2199.996000	0.000250	V	99.090000	98.643000
6	04/02/2015-11:05:06	2249.979000	0.000220	V	97.590000	98.580000
7	04/02/2015-11:05:08	2299.989000	0.000180	V	96.170000	98.638000
8	04/02/2015-11:05:10	2349.993000	0.000120	V	101.770000	98.721000
9	04/02/2015-11:05:12	2399.986000	0.000170	V	97.910000	98.614000
10	04/02/2015-11:05:14	2449.973000	0.000220	V	101.310000	98.794000
11	04/02/2015-11:05:16	2499.984000	0.000260	V	99.460000	98.643000
12	04/02/2015-11:05:18	2549.987000	0.000230	V	98.470000	98.736000
13	04/02/2015-11:05:20	2599.981000	0.000250	V	99.090000	98.780000
14	04/02/2015-11:05:22	2649.965000	0.000230	V	98.650000	98.745000
15	04/02/2015-11:05:24	2699.975000	0.000300	V	100.220000	98.745000
16	04/02/2015-11:05:26	2749.976000	0.000310	V	100.950000	98.711000
17	04/02/2015-11:05:28	2799.968000	0.000420	V	98.130000	98.804000
18	04/02/2015-11:05:30	2849.983000	0.000480	V	98.300000	98.809000
19	04/02/2015-11:05:32	2899.990000	0.000520	V	98.210000	98.750000
20	04/02/2015-11:05:35	2949.985000	0.000520	V	99.720000	98.780000
21	04/02/2015-11:05:37	2999.970000	0.000540	V	98.350000	98.823000
22	04/02/2015-11:05:39	3049.978000	0.000530	V	98.580000	98.780000
23	04/02/2015-11:05:41	3099.978000	0.000510	V	98.830000	98.706000
24	04/02/2015-11:05:43	3149.964000	0.000490	V	98.130000	98.741000
25	04/02/2015-11:05:45	3199.974000	0.000420	V	98.800000	98.692000
26	04/02/2015-11:05:47	3249.975000	0.000330	V	101.140000	98.726000
27	04/02/2015-11:05:49	3299.963000	0.000350	V	98.810000	98.624000
28	04/02/2015-11:05:51	3349.975000	0.000290	V	96.760000	98.575000
29	04/02/2015-11:05:53	3399.972000	0.000210	V	98.130000	98.765000
30	04/02/2015-11:05:55	3449.995000	0.000210	V	100.300000	98.667000
31	04/02/2015-11:05:57	3499.969000	0.000240	V	100.620000	98.902000
32	04/02/2015-11:05:59	3549.965000	0.000240	V	99.460000	98.760000
33	04/02/2015-11:06:01	3599.986000	0.000230	V	98.470000	98.770000
34	04/02/2015-11:06:03	3649.992000	0.000210	V	99.460000	98.633000
35	04/02/2015-11:06:05	3699.985000	0.000210	V	100.780000	98.638000
36	04/02/2015-11:06:07	3749.963000	0.000220	V	100.080000	98.619000
37	04/02/2015-11:06:09	3799.966000	0.000240	V	96.980000	98.585000
38	04/02/2015-11:06:11	3849.987000	0.000310	V	100.780000	98.784000
39	04/02/2015-11:06:14	3899.963000	0.000360	V	100.860000	98.799000
40	04/02/2015-11:06:16	3949.992000	0.000450	V	98.130000	98.736000
41	04/02/2015-11:06:18	3999.970000	0.000530	V	99.640000	98.663000
42	04/02/2015-11:06:20	4049.971000	0.000620	V	98.260000	98.575000
43	04/02/2015-11:06:22	4099.992000	0.000720	V	99.390000	98.599000
44	04/02/2015-11:06:24	4149.963000	0.000830	V	99.690000	98.570000
45	04/02/2015-11:06:26	4199.991000	0.000300	V	99.310000	98.643000
46	04/02/2015-11:06:28	4249.966000	0.000290	V	99.620000	98.663000
47	04/02/2015-11:06:30	4299.961000	0.000480	V	99.940000	98.741000
48	04/02/2015-11:06:32	4349.975000	0.001080	V	99.550000	98.760000
49	04/02/2015-11:06:34	4399.975000	0.001190	V	99.580000	98.799000
50	04/02/2015-11:06:36	4449.993000	0.001330	V	99.460000	98.692000
51	04/02/2015-11:06:38	4499.993000	0.001410	V	99.300000	98.619000
52	04/02/2015-11:06:40	4549.978000	0.001400	V	99.390000	98.483000
53	04/02/2015-11:06:42	4599.981000	0.001450	V	99.690000	98.575000
54	04/02/2015-11:06:44	4649.969000	0.001530	V	98.920000	98.672000
55	04/02/2015-11:06:46	4699.973000	0.001640	V	99.260000	98.736000
56	04/02/2015-11:06:48	4749.994000	0.001710	V	99.240000	98.551000
57	04/02/2015-11:06:50	4799.965000	0.001760	V	99.300000	98.595000
58	04/02/2015-11:06:53	4849.988000	0.001810	V	99.490000	98.629000
59	04/02/2015-11:06:55	4899.991000	0.001870	V	99.060000	98.493000
60	04/02/2015-11:06:57	4949.976000	0.001860	V	99.260000	98.561000
61	04/02/2015-11:06:59	4999.980000	0.001820	V	99.280000	98.887000
62	04/02/2015-11:07:01	5049.964000	0.001920	V	99.410000	98.784000
63	04/02/2015-11:07:03	5099.964000	0.001930	V	99.070000	98.648000
64	04/02/2015-11:07:05	5149.981000	0.001960	V	98.790000	98.706000
65	04/02/2015-11:07:07	5199.979000	0.001820	V	99.000000	98.629000
66	04/02/2015-11:07:09	5249.992000	0.001960	V	99.220000	98.536000
67	04/02/2015-11:07:11	5299.985000	0.002020	V	99.200000	98.527000
68	04/02/2015-11:07:13	5349.995000	0.001850	V	99.280000	98.478000
69	04/02/2015-11:07:15	5399.983000	0.001660	V	99.010000	98.512000
70	04/02/2015-11:07:17	5449.987000	0.001680	V	99.210000	98.672000
71	04/02/2015-11:07:19	5499.972000	0.001890	V	98.490000	98.556000
